prompt,language,e5_neighbors,bridge_neighbors,dominant_regions,final_colors,closest_family,hard_negative,semantic_family_win,ru_en_agreement,seed_stability,count_stability,flags
rain,EN,"[[""snow"", 0.8952052593231201], [""дождь"", 0.8942768573760986], [""grass"", 0.887495756149292], [""black"", 0.8794220089912415], [""white"", 0.878809928894043]]","[[""a watercolor city after heavy rain, pale morning light reflecting from wet stone streets"", 0.9654655456542969], [""a lonely bus stop after rain just before sunrise, with weak street lamps fading into cold morning fog"", 0.9513754844665527], [""акварельный город после сильного дождя, бледный утренний свет отражается от мокрой каменной мостовой"", 0.9390401244163513], [""тихая железнодорожная платформа под янтарными фонарями, пока синий зимний рассвет касается рельсов"", 0.9289921522140503], [""одинокая автобусная остановка после дождя перед рассветом, когда слабые фонари растворяются в холодном утреннем тумане"", 0.9270780086517334]]","[""H≈281.2°, L≈0.34, C≈0.057"", ""H≈258.8°, L≈0.34, C≈0.057"", ""H≈281.2°, L≈0.21, C≈0.057""]",#85818C #909A97 #8C9492 #A3ACA9 #A0ADA6,hospital,fog,False,0.8592926096171141,1.0,0.6,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|E5_GOOD_BRIDGE_BAD|COUNT_CHANGES_SEMANTIC_FAMILY
дождь,RU,"[[""rain"", 0.8942768573760986], [""снег"", 0.8782771825790405], [""snow"", 0.8644494414329529], [""лес"", 0.8644187450408936], [""storm"", 0.8551657199859619]]","[[""акварельный город после сильного дождя, бледный утренний свет отражается от мокрой каменной мостовой"", 0.962881326675415], [""одинокая автобусная остановка после дождя перед рассветом, когда слабые фонари растворяются в холодном утреннем тумане"", 0.9449240565299988], [""a watercolor city after heavy rain, pale morning light reflecting from wet stone streets"", 0.9317055940628052], [""a lonely bus stop after rain just before sunrise, with weak street lamps fading into cold morning fog"", 0.9134937524795532], [""rain"", 0.8955552577972412]]","[""NEUTRAL L≈0.59"", ""H≈281.2°, L≈0.34, C≈0.057"", ""NEUTRAL L≈0.46""]",#968482 #AA968E #A2928A #AFACA0 #AEAC9B,fog,hospital,False,0.8592926096171141,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY
drizzle,EN,"[[""glass"", 0.8282109498977661], [""snow"", 0.8247039318084717], [""ice"", 0.8191866278648376], [""grass"", 0.8142691850662231], [""blue"", 0.8118747472763062]]","[[""storm"", 0.8589305281639099], [""стекло"", 0.8402575254440308], [""ward"", 0.8322343826293945], [""ice"", 0.8193444013595581], [""fog"", 0.8088334798812866]]","[""H≈213.8°, L≈0.84, C≈0.057"", ""NEUTRAL L≈0.84"", ""H≈213.8°, L≈0.71, C≈0.057""]",#B17C84 #BA8494 #C6A08F #BAC6A3 #ABC398,fog,watercolor,False,,0.8333333333333334,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|SEED_CHANGES_SEMANTIC_FAMILY|COUNT_CHANGES_SEMANTIC_FAMILY
storm,EN,"[[""rain"", 0.8771131038665771], [""snow"", 0.8754181861877441], [""steel"", 0.8697464466094971], [""hospital"", 0.8674061298370361], [""black"", 0.8608479499816895]]","[[""fog"", 0.967815637588501], [""an abandoned hospital corridor in winter at night, lit only by moonlight through dirty windows"", 0.911529541015625], [""одинокая автобусная остановка после дождя перед рассветом, когда слабые фонари растворяются в холодном утреннем тумане"", 0.888953447341919], [""заброшенный больничный коридор зимой ночью, освещённый только лунным светом через грязные окна"", 0.8869739770889282], [""snow"", 0.8690087199211121]]","[""NEUTRAL L≈0.84"", ""H≈258.8°, L≈0.34, C≈0.057"", ""H≈258.8°, L≈0.71, C≈0.057""]",#8E6C79 #9A7581 #957B83 #9C8491 #8B6C88,warm_childhood_kitchen,desert,False,,0.16666666666666666,0.4,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|SEED_CHANGES_SEMANTIC_FAMILY|COUNT_CHANGES_SEMANTIC_FAMILY
fog,EN,"[[""blue"", 0.8634330630302429], [""rain"", 0.8631637096405029], [""snow"", 0.862977921962738], [""leaf"", 0.856318473815918], [""ice"", 0.8545496463775635]]","[[""storm"", 0.967815637588501], [""одинокая автобусная остановка после дождя перед рассветом, когда слабые фонари растворяются в холодном утреннем тумане"", 0.9277081489562988], [""an abandoned hospital corridor in winter at night, lit only by moonlight through dirty windows"", 0.9140945672988892], [""заброшенный больничный коридор зимой ночью, освещённый только лунным светом через грязные окна"", 0.9004814028739929], [""тихая железнодорожная платформа под янтарными фонарями, пока синий зимний рассвет касается рельсов"", 0.8880495429039001]]","[""NEUTRAL L≈0.84"", ""H≈258.8°, L≈0.34, C≈0.057"", ""H≈258.8°, L≈0.71, C≈0.057""]",#535269 #5F698B #737592 #829299 #7E9091,moonlight,clinical_waiting_room,False,0.06853824853897095,0.5,0.4,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|SEED_CHANGES_SEMANTIC_FAMILY|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
туман,RU,"[[""трава"", 0.8367461562156677], [""лес"", 0.8344839215278625], [""белый"", 0.8341374397277832], [""лист"", 0.83379065990448], [""больница"", 0.8318648934364319]]","[[""steel"", 0.8449156284332275], [""constructivist poster"", 0.8442750573158264], [""moss"", 0.8431618809700012], [""pear"", 0.8304557800292969], [""болезненная ностальгия"", 0.7956764698028564]]","[""H≈56.2°, L≈0.34, C≈0.057"", ""H≈78.8°, L≈0.34, C≈0.057"", ""H≈78.8°, L≈0.59, C≈0.113""]",#D9369A #B33189 #B9328D #B33690 #AE3F84,nightclub,apple,False,0.06853824853897095,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|RU_EN_DISAGREEMENT
grass,EN,"[[""glass"", 0.892934262752533], [""rain"", 0.887495756149292], [""лес"", 0.8861457109451294], [""moss"", 0.8741663694381714], [""green"", 0.8739983439445496]]","[[""лист"", 0.9570391178131104], [""трава"", 0.9283003807067871], [""leaf"", 0.9149137139320374], [""green"", 0.8493014574050903], [""constructivist poster"", 0.8077473044395447]]","[""H≈146.2°, L≈0.46, C≈0.113"", ""H≈146.2°, L≈0.84, C≈0.168"", ""H≈146.2°, L≈0.34, C≈0.057""]",#A83A84 #D731C5 #DD35D0 #D23FD0 #C741CF,nightclub,cyberpunk,False,0.20543693006038666,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
трава,RU,"[[""leaf"", 0.8694586753845215], [""rain"", 0.8583602905273438], [""ржавчина"", 0.8565658330917358], [""лес"", 0.8555237650871277], [""grass"", 0.8535910248756409]]","[[""leaf"", 0.9346334934234619], [""лист"", 0.9334346055984497], [""grass"", 0.9283003807067871], [""green"", 0.8666896820068359], [""constructivist poster"", 0.7640719413757324]]","[""H≈146.2°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.84, C≈0.113"", ""H≈146.2°, L≈0.46, C≈0.113""]",#D53A81 #F437AF #F76C72 #F06E3F #ED644B,fire,warm_childhood_kitchen,False,0.20543693006038666,1.0,0.6,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
leaf,EN,"[[""rain"", 0.8714646100997925], [""трава"", 0.8694586753845215], [""forest"", 0.8692907094955444], [""green"", 0.8671263456344604], [""apple"", 0.8670649528503418]]","[[""лист"", 0.9483342170715332], [""трава"", 0.9346334934234619], [""grass"", 0.9149137139320374], [""green"", 0.8922842741012573], [""зелёный"", 0.810542106628418]]","[""H≈146.2°, L≈0.71, C≈0.168"", ""H≈146.2°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.46, C≈0.113""]",#E23CC6 #CA3FD5 #D54AC8 #C15DBE #BF5BC3,nightclub,hospital,False,0.45068076252937317,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|RU_EN_DISAGREEMENT
лист,RU,"[[""лес"", 0.8680710792541504], [""стекло"", 0.8615070581436157], [""rust"", 0.8523637056350708], [""трава"", 0.8501349091529846], [""red"", 0.8487564325332642]]","[[""grass"", 0.9570391178131104], [""leaf"", 0.9483342170715332], [""трава"", 0.9334346055984497], [""green"", 0.9111309051513672], [""constructivist poster"", 0.8420422077178955]]","[""H≈146.2°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.84, C≈0.168"", ""H≈146.2°, L≈0.46, C≈0.113""]",#6E428C #9B3BED #A64FEC #9E61D8 #915BD5,nightclub,cyberpunk,False,0.45068076252937317,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
forest,EN,"[[""лес"", 0.8734583258628845], [""grass"", 0.8707137107849121], [""leaf"", 0.8692907094955444], [""white"", 0.8662397861480713], [""green"", 0.8660418391227722]]","[[""лес"", 0.9738280773162842], [""constructivist poster"", 0.8554471731185913], [""meadow"", 0.8213099241256714], [""green"", 0.7320995926856995], [""grass"", 0.7247984409332275]]","[""H≈146.2°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.71, C≈0.113"", ""H≈146.2°, L≈0.34, C≈0.057""]",#936B6F #D56370 #E46A72 #BC8083 #C0717A,warm_childhood_kitchen,fire,False,0.7788180783390999,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
лес,RU,"[[""grass"", 0.8861457109451294], [""forest"", 0.8734583258628845], [""лист"", 0.8680710792541504], [""leaf"", 0.8669732213020325], [""дождь"", 0.8644187450408936]]","[[""forest"", 0.9738280773162842], [""constructivist poster"", 0.8778903484344482], [""meadow"", 0.7833505868911743], [""green"", 0.7648628950119019], [""лист"", 0.7625631093978882]]","[""H≈146.2°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.71, C≈0.113"", ""H≈168.8°, L≈0.34, C≈0.057""]",#966479 #C0598A #C96690 #B77E96 #B77292,warm_childhood_kitchen,desert,False,0.7788180783390999,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|RU_EN_DISAGREEMENT
meadow,EN,"[[""leaf"", 0.8520491719245911], [""grass"", 0.8407621383666992], [""snow"", 0.8362917900085449], [""forest"", 0.8349269032478333], [""rain"", 0.8314963579177856]]","[[""constructivist poster"", 0.8470442891120911], [""forest"", 0.8213099241256714], [""green"", 0.8201262950897217], [""gothic"", 0.8085730075836182], [""зелёный"", 0.8003275394439697]]","[""H≈146.2°, L≈0.71, C≈0.113"", ""H≈168.8°, L≈0.59, C≈0.113"", ""H≈146.2°, L≈0.59, C≈0.113""]",#ED7581 #E6466A #DA406E #D55256 #C26F4D,fire,warm_childhood_kitchen,False,,1.0,0.4,ALL_SLOTS_SAME_VISUAL_CONTEXT|COUNT_CHANGES_SEMANTIC_FAMILY
moss,EN,"[[""grass"", 0.8741663694381714], [""blue"", 0.8608313798904419], [""forest"", 0.8604671955108643], [""rain"", 0.8583735227584839], [""storm"", 0.8553175330162048]]","[[""old paper"", 0.9079337120056152], [""туман"", 0.8431618809700012], [""pear"", 0.8357073068618774], [""синий"", 0.8232825398445129], [""constructivist poster"", 0.8125478625297546]]","[""H≈146.2°, L≈0.46, C≈0.113"", ""H≈78.8°, L≈0.34, C≈0.057"", ""H≈168.8°, L≈0.46, C≈0.113""]",#E43BB7 #C436B3 #C234BE #B537CF #B53BBE,nightclub,cyberpunk,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT
apple,EN,"[[""blue"", 0.8706529140472412], [""black"", 0.8683531284332275], [""leaf"", 0.8670649528503418], [""glass"", 0.8593387007713318], [""ice"", 0.85594242811203]]","[[""яблоко"", 0.9860617518424988], [""red"", 0.8634575605392456], [""красный"", 0.8359891176223755], [""black"", 0.7792598009109497], [""old paper"", 0.7644133567810059]]","[""H≈33.8°, L≈0.46, C≈0.168"", ""H≈33.8°, L≈0.59, C≈0.223"", ""H≈33.8°, L≈0.21, C≈0.057""]",#9B636F #B45977 #B04C73 #BA4F74 #B95A6B,sunset,nightclub,False,0.6917271241545677,1.0,0.2,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
яблоко,RU,"[[""стекло"", 0.8542786836624146], [""лист"", 0.8424789905548096], [""apple"", 0.841428279876709], [""белый"", 0.8356682062149048], [""трава"", 0.8352954387664795]]","[[""apple"", 0.9860617518424988], [""red"", 0.8444103002548218], [""красный"", 0.815060555934906], [""black"", 0.7634645104408264], [""чёрный"", 0.7549855709075928]]","[""H≈33.8°, L≈0.46, C≈0.168"", ""H≈33.8°, L≈0.59, C≈0.223"", ""H≈33.8°, L≈0.21, C≈0.057""]",#565063 #6F569E #BF7192 #BE8092 #9E5380,nightclub,cyberpunk,False,0.6917271241545677,1.0,0.2,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
pear,EN,"[[""leaf"", 0.8630478978157043], [""red"", 0.848498523235321], [""rain"", 0.84590744972229], [""black"", 0.8458781242370605], [""blue"", 0.8449106812477112]]","[[""акварель"", 0.9243999719619751], [""old paper"", 0.8688726425170898], [""fragile optimism"", 0.8599873781204224], [""plum"", 0.8511064052581787], [""moss"", 0.8357073068618774]]","[""H≈56.2°, L≈0.71, C≈0.113"", ""H≈56.2°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.21, C≈0.057""]",#AA7E94 #B0648D #A35D8F #9A5F89 #895F82,nightclub,warm_childhood_kitchen,False,,1.0,0.2,ALL_SLOTS_SAME_VISUAL_CONTEXT|COUNT_CHANGES_SEMANTIC_FAMILY
plum,EN,"[[""leaf"", 0.8512758016586304], [""apple"", 0.8388634920120239], [""blue"", 0.8381206393241882], [""pear"", 0.8352220058441162], [""clinic"", 0.8312116861343384]]","[[""pear"", 0.8511064052581787], [""fragile optimism"", 0.8437301516532898], [""акварель"", 0.8274381160736084], [""black"", 0.8240614533424377], [""dawn"", 0.7823020219802856]]","[""H≈33.8°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.59, C≈0.223"", ""H≈33.8°, L≈0.46, C≈0.168""]",#D32756 #C42755 #BF2051 #C72247 #BF384C,apple,sunset,False,,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COUNT_CHANGES_SEMANTIC_FAMILY
hospital,EN,"[[""больница"", 0.8996908068656921], [""clinic"", 0.8989253640174866], [""ward"", 0.8740292191505432], [""black"", 0.8709150552749634], [""red"", 0.8682425022125244]]","[[""больница"", 0.9093881845474243], [""стерильное одиночество"", 0.875557541847229], [""ice"", 0.8636841177940369], [""clinic"", 0.843292236328125], [""wet concrete"", 0.8223017454147339]]","[""H≈213.8°, L≈0.71, C≈0.057"", ""NEUTRAL L≈0.84"", ""H≈236.2°, L≈0.34, C≈0.057""]",#387DED #2A7ABE #51A3C7 #6AB3BE #59B1B9,ice,snow,False,0.7973084263503551,1.0,0.2,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
больница,RU,"[[""hospital"", 0.8996908068656921], [""clinic"", 0.872976541519165], [""заброшенный больничный коридор зимой ночью, освещённый только лунным светом через грязные окна"", 0.86182701587677], [""болезненная ностальгия"", 0.8492727279663086], [""лист"", 0.8442062139511108]]","[[""clinic"", 0.9229816198348999], [""glass"", 0.9167723655700684], [""hospital"", 0.9093881845474243], [""стекло"", 0.8903900384902954], [""стерильное одиночество"", 0.8226349353790283]]","[""NEUTRAL L≈0.84"", ""H≈213.8°, L≈0.34, C≈0.057"", ""H≈213.8°, L≈0.46, C≈0.057""]",#6279BC #497DB6 #5C92B3 #78A9A9 #68A4A3,ice,snow,False,0.7973084263503551,1.0,0.6,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|COUNT_CHANGES_SEMANTIC_FAMILY|RU_EN_DISAGREEMENT
clinic,EN,"[[""hospital"", 0.8989253640174866], [""больница"", 0.872976541519165], [""ward"", 0.8608138561248779], [""red"", 0.8599834442138672], [""black"", 0.8565865755081177]]","[[""больница"", 0.9229816198348999], [""ward"", 0.9010168313980103], [""стекло"", 0.899255633354187], [""glass"", 0.8646464347839355], [""white"", 0.8639348149299622]]","[""NEUTRAL L≈0.84"", ""H≈213.8°, L≈0.46, C≈0.057"", ""H≈213.8°, L≈0.34, C≈0.057""]",#CD71D2 #6695CD #7F93C5 #6F98B6 #74B0B2,snow,hospital,False,,0.8333333333333334,0.4,ALL_SLOTS_SAME_VISUAL_CONTEXT|SEED_CHANGES_SEMANTIC_FAMILY|COUNT_CHANGES_SEMANTIC_FAMILY
ward,EN,"[[""hospital"", 0.8740292191505432], [""black"", 0.8638603091239929], [""clinic"", 0.8608138561248779], [""red"", 0.8596392273902893], [""storm"", 0.8566763997077942]]","[[""белый"", 0.9136130809783936], [""white"", 0.9109860062599182], [""clinic"", 0.9010168313980103], [""стекло"", 0.8817647099494934], [""fog"", 0.8532818555831909]]","[""NEUTRAL L≈0.84"", ""H≈258.8°, L≈0.34, C≈0.057"", ""H≈213.8°, L≈0.71, C≈0.057""]",#C89B9C #C2867D #A09576 #7C9993 #8F9F75,hospital,fog,False,,0.8333333333333334,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|SEED_CHANGES_SEMANTIC_FAMILY
snow,EN,"[[""снег"", 0.9564269781112671], [""ice"", 0.9093155860900879], [""rain"", 0.8952052593231201], [""white"", 0.8849365711212158], [""black"", 0.878515362739563]]","[[""снег"", 0.9984853267669678], [""заброшенный больничный коридор зимой ночью, освещённый только лунным светом через грязные окна"", 0.9354557991027832], [""тихая железнодорожная платформа под янтарными фонарями, пока синий зимний рассвет касается рельсов"", 0.8972209692001343], [""an abandoned hospital corridor in winter at night, lit only by moonlight through dirty windows"", 0.8837400674819946], [""fog"", 0.8789135217666626]]","[""NEUTRAL L≈0.84"", ""H≈258.8°, L≈0.59, C≈0.057"", ""H≈258.8°, L≈0.71, C≈0.057""]",#5A5F62 #6B7478 #858F93 #A3AEB1 #98A7A9,ice,clinical_waiting_room,False,0.9611471989192069,0.6666666666666666,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|COLOR_PRIOR_WRONG_FAMILY|BRIDGE_GOOD_DECODER_BAD|SEED_CHANGES_SEMANTIC_FAMILY|COUNT_CHANGES_SEMANTIC_FAMILY
